Year,Center,Examinee,Appeared, Male,Female,Total Passed,Male Passed,Female Passed,Percentage of Pass,Total GPA 5,GPA 5 - Male,GPA 5 - Female,BUSINESS STUDIES Passed,BUSINESS STUDIES Not Passed,BUSINESS STUDIES GPA 5,HUMANITIES Passed,HUMANITIES Not Passed,HUMANITIES GPA 5,SCIENCE Passed,SCIENCE Not Passed,SCIENCE GPA 5,BS_Appeared,HUM_Appeared,SCI_Appeared,BS_Pass_Rate,HUM_Pass_Rate,SCI_Pass_Rate,BS_GPA5_Rate,HUM_GPA5_Rate,SCI_GPA5_Rate,Total_Dept_Passed,Total_Dept_Appeared
2025,NIKRAIL,165,165,82,83,74,38,36,44.85,7,0,7,12,28,0,14,49,0,48,14,7,40,63,62,30.0,22.22222222222222,77.41935483870968,0.0,0.0,14.583333333333334,74,165
2024,NIKRAIL,177,177,76,101,161,69,92,90.96,11,2,9,43,6,0,54,7,0,64,3,11,49,61,67,87.75510204081633,88.52459016393442,95.52238805970148,0.0,0.0,17.1875,161,177
2023,NIKRAIL,187,187,97,90,149,77,72,79.68,16,4,12,29,17,0,58,18,0,62,3,16,46,76,65,63.04347826086957,76.31578947368422,95.38461538461539,0.0,0.0,25.806451612903224,149,187
2022,NIKRAIL,187,185,113,72,175,107,68,94.59,14,9,5,49,3,0,70,8,0,56,1,14,52,78,57,94.23076923076923,89.74358974358975,98.24561403508771,0.0,0.0,25.0,175,187
2021,NIKRAIL,278,277,157,120,275,155,120,99.28,10,3,7,93,1,1,107,1,0,75,1,9,94,108,76,98.93617021276596,99.07407407407408,98.68421052631578,1.0752688172043012,0.0,12.0,275,278
2020,NIKRAIL,262,262,152,110,159,89,70,60.69,7,0,7,30,48,0,35,47,0,94,8,7,78,82,102,38.46153846153847,42.68292682926829,92.15686274509804,0.0,0.0,7.446808510638298,159,262
2019,NIKRAIL,357,356,216,140,275,164,111,77.25,3,3,0,95,38,0,48,28,0,132,16,3,133,76,148,71.42857142857143,63.1578947368421,89.1891891891892,0.0,0.0,2.272727272727273,275,357
2018,NIKRAIL,216,216,116,100,77,28,49,35.65,3,1,2,7,74,0,19,38,1,51,27,2,81,57,78,8.641975308641975,33.33333333333333,65.38461538461539,0.0,5.263157894736842,3.9215686274509802,77,216
2017,NIKRAIL,193,193,110,83,192,109,83,99.48,48,33,15,72,0,2,60,1,2,60,0,44,72,61,60,100.0,98.36065573770492,100.0,2.7777777777777777,3.3333333333333335,73.33333333333333,192,193
2016,NIKRAIL,219,219,124,95,218,123,95,99.54,25,8,17,93,0,0,70,1,0,55,0,25,93,71,55,100.0,98.59154929577466,100.0,0.0,0.0,45.45454545454545,218,219
2015,NIKRAIL,209,207,129,78,188,115,73,90.82,10,5,5,96,10,1,47,11,0,45,0,9,106,58,45,90.56603773584906,81.03448275862068,100.0,1.0416666666666665,0.0,20.0,188,209
2014,NIKRAIL,200,199,120,79,177,103,74,88.94,17,10,7,92,17,3,36,6,0,49,0,14,109,42,49,84.40366972477065,85.71428571428571,100.0,3.260869565217391,0.0,28.57142857142857,177,200
2013,NIKRAIL,204,204,116,88,186,112,74,91.18,10,8,2,128,13,5,24,5,0,34,0,5,141,29,34,90.78014184397163,82.75862068965517,100.0,3.90625,0.0,14.705882352941178,186,204
2012,BHUAPUR,209,209,112,97,167,90,77,79.9,17,4,13,115,42,0,8,0,0,44,0,17,157,8,44,73.24840764331209,100.0,100.0,0.0,0.0,38.63636363636363,167,209
2011,BHUAPUR,201,201,112,89,150,86,64,74.63,1,1,0,89,46,0,14,1,0,47,4,1,135,15,51,65.92592592592592,93.33333333333333,92.15686274509804,0.0,0.0,2.127659574468085,150,201
